estimator,estimate,se,lower,upper,rep,truth
Naive comparison,0.0923961656030838,0.004657626011568211,0.08326738629494651,0.10152494491122108,33,0.06088195726098464
Outcome regression,0.05383467340437341,,,,33,0.06088195726098464
IPW,0.06131582222839953,0.0067016414020205604,0.0481808463395297,0.07445079811726936,33,0.06088195726098464
AIPW,0.05902891831942794,0.006579946896163795,0.04613245928103517,0.07192537735782072,33,0.06088195726098464
TMLE,0.0590851356200754,0.006586226004665172,0.04617636975506783,0.07199390148508297,33,0.06088195726098464
Naive comparison,0.09783121877993682,0.004653311842689234,0.08871089508749226,0.10695154247238138,34,0.06088195726098464
Outcome regression,0.05810145087235372,,,,34,0.06088195726098464
IPW,0.06407290594719399,0.007385836088681876,0.04959693310347671,0.07854887879091127,34,0.06088195726098464
AIPW,0.06442427680980746,0.007315971637114741,0.0500852357760415,0.07876331784357342,34,0.06088195726098464
TMLE,0.06427117939658188,0.007293604388650506,0.049975977364584874,0.07856638142857887,34,0.06088195726098464
Naive comparison,0.09342285590900418,0.004714388109712541,0.08418282493193954,0.10266288688606881,35,0.06088195726098464
Outcome regression,0.0471485061550799,,,,35,0.06088195726098464
IPW,0.05397118750237474,0.007374563774195312,0.0395173079892478,0.06842506701550169,35,0.06088195726098464
AIPW,0.05319959380811508,0.007307743388394965,0.03887667984562293,0.06752250777060723,35,0.06088195726098464
TMLE,0.05309333422554164,0.007306484926694969,0.03877288680267686,0.06741378164840642,35,0.06088195726098464
Naive comparison,0.09416375963508987,0.004676240268673983,0.08499849705313853,0.10332902221704121,36,0.06088195726098464
Outcome regression,0.052234205214541064,,,,36,0.06088195726098464
IPW,0.060083021082021196,0.006531616039253341,0.04728128878326206,0.07288475338078033,36,0.06088195726098464
AIPW,0.05919161046901195,0.00646618479256966,0.04651812105822795,0.07186509987979596,36,0.06088195726098464
TMLE,0.05918874756107647,0.006450719989187261,0.04654556860818905,0.07183192651396389,36,0.06088195726098464
Naive comparison,0.0988016375647872,0.004689879610333977,0.08960964236419858,0.10799363276537582,37,0.06088195726098464
Outcome regression,0.050877534424156094,,,,37,0.06088195726098464
IPW,0.055469643339410984,0.006731410770848033,0.04227632055933659,0.06866296611948539,37,0.06088195726098464
AIPW,0.05377672732544707,0.006679631110553058,0.04068489081548306,0.06686856383541108,37,0.06088195726098464
TMLE,0.05380025335241745,0.00667718575491601,0.04071320965146925,0.06688729705336566,37,0.06088195726098464
Naive comparison,0.10191601728967623,0.004675961399191441,0.09275130128187137,0.11108073329748108,38,0.06088195726098464
Outcome regression,0.05651445631262709,,,,38,0.06088195726098464
IPW,0.06612815285087863,0.006695329954982555,0.0530055471709912,0.07925075853076606,38,0.06088195726098464
AIPW,0.0640130816880929,0.006577548284099092,0.051121323842996905,0.0769048395331889,38,0.06088195726098464
TMLE,0.06406876749608459,0.0065821954381870065,0.05116790139627383,0.07696963359589534,38,0.06088195726098464
Naive comparison,0.100756527688612,0.004678429838873668,0.09158697362789381,0.10992608174933019,39,0.06088195726098464
Outcome regression,0.06024026653029807,,,,39,0.06088195726098464
IPW,0.06295305332664174,0.006482609546627743,0.05024737198919504,0.07565873466408843,39,0.06088195726098464
AIPW,0.062344410632918255,0.006408337606164928,0.049784299624988815,0.0749045216408477,39,0.06088195726098464
TMLE,0.06226967737525444,0.006394858824757638,0.04973598429364716,0.07480337045686172,39,0.06088195726098464
Naive comparison,0.09596633014360365,0.004657952939518276,0.08683691006845365,0.10509575021875364,40,0.06088195726098464
Outcome regression,0.053987735178013425,,,,40,0.06088195726098464
IPW,0.06309569385750505,0.006241380399978123,0.050862812963242326,0.07532857475176777,40,0.06088195726098464
AIPW,0.06143214153303022,0.006172870897699868,0.049333536796890794,0.07353074626916964,40,0.06088195726098464
TMLE,0.06152687395824868,0.006142287704244359,0.04948821118028709,0.07356553673621027,40,0.06088195726098464
Naive comparison,0.10066578411490974,0.004689660184824473,0.09147421898042044,0.10985734924939905,41,0.06088195726098464
Outcome regression,0.06269228558390973,,,,41,0.06088195726098464
IPW,0.07132635250637505,0.006819127316012055,0.0579611084555748,0.0846915965571753,41,0.06088195726098464
AIPW,0.06949728225108702,0.006779084928416776,0.05621051983844756,0.08278404466372648,41,0.06088195726098464
TMLE,0.0697119037041126,0.006771030892466441,0.0564409269119905,0.08298288049623469,41,0.06088195726098464
Naive comparison,0.09908049799255653,0.0046906741702064,0.08988694548322211,0.10827405050189094,42,0.06088195726098464
Outcome regression,0.05512328704294833,,,,42,0.06088195726098464
IPW,0.06365373244847095,0.006542141812596,0.05083137001288804,0.07647609488405385,42,0.06088195726098464
AIPW,0.06285553810017022,0.00645995787583814,0.050194253222010994,0.07551682297832944,42,0.06088195726098464
TMLE,0.06278709354009132,0.006429716463802055,0.050185080740831986,0.07538910633935066,42,0.06088195726098464
Naive comparison,0.10216461436067469,0.004691061069960367,0.09297030354175088,0.11135892517959849,43,0.06088195726098464
Outcome regression,0.06003244429231076,,,,43,0.06088195726098464
IPW,0.06894861292360396,0.006580739341227219,0.0560506007214149,0.08184662512579302,43,0.06088195726098464
AIPW,0.06767022920105681,0.006507197867438275,0.05491635564000102,0.08042410276211259,43,0.06088195726098464
TMLE,0.0677473920297507,0.006501512242947024,0.055004662088015285,0.08049012197148613,43,0.06088195726098464
Naive comparison,0.09538043050562667,0.004704294134869719,0.08616018335587088,0.10460067765538246,44,0.06088195726098464
Outcome regression,0.05313087630472477,,,,44,0.06088195726098464
IPW,0.061261411840301094,0.0067926880737720395,0.04794798775247855,0.07457483592812364,44,0.06088195726098464
AIPW,0.061411309106675444,0.006832267051467803,0.048020311647412404,0.07480230656593849,44,0.06088195726098464
TMLE,0.06007748272311455,0.006913137861144301,0.04652798138823472,0.07362698405799438,44,0.06088195726098464
Naive comparison,0.09660647005521553,0.004592877348577636,0.08760459579558791,0.10560834431484314,45,0.06088195726098464
Outcome regression,0.0584596302663664,,,,45,0.06088195726098464
IPW,0.061086783454507965,0.007198242928326087,0.046978486451734254,0.07519508045728168,45,0.06088195726098464
AIPW,0.06117814991249175,0.0070285552168607825,0.04740243471543242,0.07495386510955107,45,0.06088195726098464
TMLE,0.06117632224147104,0.007049922581176174,0.04735872777957866,0.07499391670336342,45,0.06088195726098464
Naive comparison,0.10217275609457781,0.00468754364199152,0.09298533930784554,0.11136017288131007,46,0.06088195726098464
Outcome regression,0.057957872264614185,,,,46,0.06088195726098464
IPW,0.06632426774561412,0.00727149838682807,0.05207239268137302,0.08057614280985521,46,0.06088195726098464
AIPW,0.06530590927472608,0.0072772838977780184,0.05104269481730149,0.07956912373215068,46,0.06088195726098464
TMLE,0.06502293762064193,0.007273920031571989,0.050766316219881966,0.0792795590214019,46,0.06088195726098464
Naive comparison,0.10220241189697592,0.0046935454019551605,0.09300323187677827,0.11140159191717357,47,0.06088195726098464
